id,id_tienda,nombre,rut,edad,sexo,es_jefe
99,0,antonella garrido,41601315-2,49,mujer,false
100,20,conzuelo gonzalez,98121429-3,82,hombre,false
101,64,josefa huaiquil,80511365-0,53,mujer,false
102,46,millaray jimenez,62815723-5,88,hombre,false
103,59,alondra llanquimin,33734821-1,30,hombre,false
104,29,fernando lopez,25806104-7,76,hombre,false
105,51,valeria martinez,23514054-3,74,mujer,false
106,20,alexia matus,72309503-4,18,mujer,false
107,67,martin neculman,48908396-5,51,mujer,false
108,79,isidora orellana,71198104-7,90,hombre,false
109,95,luis pacheco,76534733-5,37,hombre,false
110,82,carlos pinto,73222374-6,31,mujer,false
111,34,diego plaza,28597225-6,25,mujer,false
112,9,francisca roblero,32700742-4,97,mujer,false
113,11,padme rodriguez,28118803-8,47,hombre,false
114,47,benjamin saavedra,34572846-5,34,mujer,false
115,32,millaray salazar,42723522-k,65,mujer,false
116,84,deyanira santander,15591154-9,73,mujer,false
117,45,yasmin suarez,16636734-4,73,mujer,false
118,73,paloma sucarrat,63795324-9,87,hombre,false
119,79,kitzy vega,65538426-k,53,mujer,false
120,70,enygger videla,62942419-9,45,hombre,false
121,79,simona vilches,33236616-5,98,mujer,false
122,27,cristobal yanka,31679088-7,44,hombre,false
123,14,abigail alarcon,82581279-2,48,mujer,false
124,11,pablo salazar,35069575-3,52,hombre,false
125,47,antonio salinas,99927220-7,83,hombre,false
126,52,leandro aravena,70106627-8,34,hombre,false
127,86,anais oyarzon,43953571-7,77,mujer,false
128,31,victoria toloza,51194123-7,73,mujer,false
129,62,dominique contreras,75490842-4,71,hombre,false
130,44,alessandro pizarro,64336012-8,25,hombre,false
131,25,andrea aguilar,54023774-3,11,mujer,false
132,20,yadhira cifuentes,45008209-0,97,mujer,true
133,30,millaray meza,40538537-6,89,mujer,false
134,72,kiara moya,12187269-2,46,mujer,false
135,77,celine yanez,27952560-4,74,hombre,false
136,58,andrea sanhueza,55823148-3,67,mujer,false
137,3,danitza castro,67978268-1,77,mujer,false
138,8,shantal munoz,99070181-4,75,mujer,false
139,49,isidora bravo,50042631-4,16,mujer,false
140,38,matias pichulpil,99466469-7,23,hombre,false
141,5,kris pena,36664523-3,12,mujer,false
142,39,rayen contreras,44812887-3,70,mujer,false
143,16,yaritza garcia,34643031-1,23,hombre,false
144,51,ivan sarmiento,21759577-0,47,hombre,false
145,18,alexandra carmona,32992512-9,86,mujer,false
146,55,mairin romero,85553386-3,26,hombre,false
147,97,salom orellana,45510769-5,83,hombre,true
148,75,constanza loyola,45740927-3,19,mujer,false
149,71,alejandra olguin,98849412-7,42,hombre,false
150,100,alonso carrasco,42300579-3,84,hombre,false
151,12,cristobal vallejos,84921010-6,90,mujer,false
152,16,macarena munoz,51248373-9,54,hombre,false
153,47,andres diaz,38628283-8,49,mujer,true
154,101,esteban guzman,78662700-1,95,mujer,false
155,37,andrea alburquenque,80703512-6,24,hombre,false
156,101,sofia flores,37142311-7,83,hombre,false
157,66,katalina gonzalez,97036167-7,17,mujer,false
158,29,jesus gonzalez,53967694-6,72,hombre,false
159,27,antonia olivares,23407008-8,51,hombre,false
160,79,isidora pacheco,76494450-k,15,hombre,false
161,85,francisca cayupan,56229978-5,43,hombre,false
162,51,emiliano figueroa,40269415-7,57,mujer,false
163,76,alonso dumont,80592689-9,18,hombre,false
164,90,amaro mondaca,52576933-k,87,mujer,false
165,13,absalon figueroa,71612139-9,32,mujer,false
166,28,antonia ortega,23632306-4,94,hombre,false
167,52,josefa alarcon,16413527-6,67,mujer,true
168,57,alonso farias,77489819-0,98,mujer,false
169,87,matias rodriguez,85301240-8,92,mujer,false
170,70,alonso toro,53721649-2,59,mujer,false
171,86,andres vergara,12655924-0,37,hombre,false
172,19,noemi castro,79154026-7,15,hombre,false
173,82,adriana jimenez,24115633-8,72,mujer,false
174,82,miguel martinez,34917249-6,47,hombre,false
175,79,benjamin cayul,85034590-2,94,hombre,false
176,25,ignacio mardones,19680912-0,69,hombre,false
177,32,marcela vargas,40455577-4,27,mujer,false
178,80,andres painenao,81401624-2,64,mujer,false
179,60,gustavo mena,40978316-3,95,mujer,false
180,22,anibal contreras,77189827-0,19,hombre,false
181,61,javiera vigouroux,13093741-1,38,hombre,false
182,71,arturo calabrano,26123513-7,82,hombre,false
183,31,ignacio huenuanca,12874915-2,28,hombre,false
184,32,josue donoso,15623590-3,32,mujer,false
185,43,jesus navarrete,45981588-0,44,hombre,false
186,101,aaron cares,82003178-4,86,mujer,false
187,27,paz munoz,29415476-0,75,hombre,false
188,89,antonia elguezabal,38631846-8,88,mujer,false
189,15,kathalina san,61242043-2,45,mujer,false
190,85,ignacio delgado,28954972-2,80,hombre,false
191,25,andres abarca,88094734-6,14,hombre,false
192,24,alejandro sarmiento,69163174-5,55,mujer,false
193,1,alexander pena,53042462-6,64,mujer,false
194,44,samanta marinao,81330568-2,60,hombre,false
195,67,paola quezada,86679007-8,19,hombre,false
196,39,ignacio barra,83896534-2,98,hombre,false
197,14,ariel iturra,91210142-8,44,mujer,false
198,46,daniel zuniga,72570829-7,62,hombre,false
199,7,catalina jara,58044372-9,88,mujer,false
200,27,venecia campos,40640800-0,71,hombre,false
201,32,fernanda repol,73324033-4,84,mujer,true
202,19,ignacia galvez,80549244-9,89,mujer,false
203,38,scarlett pezoa,40070443-0,13,mujer,false
204,13,jessica reyes,68377701-3,59,hombre,false
205,46,de rave,20228556-2,15,hombre,false
206,53,daniel blanco,16264932-9,36,mujer,false
207,44,valentina cancino,80580088-7,76,hombre,false
208,0,claudio carreno,84167281-k,39,mujer,false
209,8,valentina castillo,93044599-1,16,mujer,false
210,24,gustavo castro,47922722-5,22,mujer,false
211,101,tamara dealecio,41183684-3,50,mujer,false
212,56,carla farias,94947578-6,57,hombre,false
213,46,fernanda gajardo,33890329-4,59,mujer,false
214,44,paula gajardo,91085975-7,17,hombre,false
215,10,isidora garabito,96562711-1,95,mujer,false
216,30,ignacia gomez,52392092-8,79,mujer,false
217,53,catalina gonzalez,91938760-2,94,hombre,false
218,82,daniela gutierrez,98518861-0,90,hombre,false
219,81,catalina huentelaf,72275204-k,19,mujer,false
220,5,bryan jorquera,70388205-6,79,hombre,false
221,62,diego lopez,80924311-7,67,mujer,false
222,21,matias maldonado,73031326-8,79,hombre,true
223,3,catalina miranda,66970190-k,36,hombre,false
224,7,catari monsalves,81641085-1,30,mujer,false
225,46,catalina montero,17371278-2,92,mujer,false
226,22,fernanda montero,72447098-k,35,mujer,false
227,60,matias munoz,59161375-8,24,hombre,false
228,83,javiera peralta,14106853-9,30,mujer,true
229,46,ariana perez,94506083-2,57,hombre,false
230,14,joaquin pinto,24878659-0,45,hombre,false
231,80,nelson quezada,23937155-8,69,mujer,false
232,58,ignacio quiroz,79407634-0,68,hombre,false
233,95,giancarlo roblero,27083103-6,94,hombre,false
234,98,barbara sanchez,77757931-2,35,hombre,true
235,66,paolo silva,21290952-1,24,hombre,false
236,7,emilio soto,79695896-0,89,hombre,false
237,75,yacyara soza,89512502-4,22,hombre,false
238,66,jacob torres,31256887-k,36,mujer,false
239,58,catalina urquiza,46067685-1,83,mujer,false
240,99,alejandra valdes,58143457-k,85,mujer,false
241,96,catalina valencia,69719019-8,57,mujer,true
242,40,catalina vasquez,81207716-3,49,hombre,false
243,76,juan veas,92394961-5,22,hombre,false
244,74,yael vera,99149710-2,91,hombre,false
245,67,karla villablanca,92851961-9,63,hombre,false
246,71,diego villegas,22637365-9,64,hombre,false
247,59,javiera alarcon,41694611-6,68,mujer,false
248,84,vicente alarcon,28231652-8,19,hombre,false
249,86,benjamin ancacura,97321798-4,86,mujer,false
250,10,alan armijo,35773530-0,47,mujer,false
251,31,daniela arrao,73745994-2,50,hombre,false
252,66,kharla astudillo,32644502-9,99,mujer,false
253,51,sayuri bahamondes,62220169-0,85,hombre,false
254,7,dylan campos,69020528-9,87,mujer,false
255,94,angelo caniunir,62887150-7,12,mujer,false
256,74,nazaret carreno,16687104-2,91,mujer,false
257,30,fabiano carte,51630030-2,52,hombre,false
258,40,mateo contreras,47249752-9,50,mujer,false
259,29,martina cuevas,55868629-4,70,mujer,false
260,4,agustin farias,75766984-6,36,mujer,false
261,11,isidora galvez,32817993-8,30,hombre,false
262,54,gabriela garay,83538271-0,22,hombre,false
263,45,valentina gomez,80628376-2,48,hombre,false
264,43,bastian lagos,44422964-0,35,hombre,false
265,13,esteban leiva,31691559-0,72,mujer,false
266,50,barbara lincopion,31457093-6,74,hombre,false
267,3,loreto luna,61863167-2,48,mujer,false
268,69,matias marillan,91051274-9,32,hombre,false
269,28,matias momberg,81019249-6,96,mujer,false
270,77,benjamin mondaca,75106425-k,85,hombre,false
271,6,andres mora,52581344-4,34,mujer,false
272,11,josue moreno,13700503-4,28,mujer,false
273,12,krishna ordenez,45677093-2,31,hombre,false
274,29,iahn oyarce,18912034-6,42,hombre,false
275,8,trinidad peralta,22876040-4,16,mujer,false
276,57,constanza quezada,29742884-5,51,hombre,false
277,28,genesis ramirez,13295853-k,15,hombre,false
278,16,katherine retamal,22252251-k,94,hombre,false
279,91,yamna reyes,53642790-2,48,mujer,true
280,37,fernanda salinas,83481742-k,85,hombre,false
281,72,benjamin sanchez,84095044-1,78,hombre,false
282,82,francisca sanchez,98544321-1,55,mujer,false
283,10,yaen sanhueza,96404014-1,36,mujer,false
284,3,benjamin soto,37731534-0,28,mujer,false
285,67,kathya spedaletti,55676647-9,97,hombre,true
286,22,bastian tapia,48766480-4,69,hombre,false
287,10,fernanda vargas,15119459-1,16,hombre,false
288,54,camilo zambrano,76849115-1,13,mujer,false
289,10,barbara zuniga,15765031-9,10,hombre,false
290,17,camila aburto,32726853-8,26,hombre,false
291,77,valentina aliaga,59260036-6,96,hombre,false
292,17,camila arancibia,19130484-5,36,hombre,false
293,94,javier aravena,57325256-k,45,hombre,false
294,49,diego arce,80356838-3,93,mujer,false
295,99,javiera barrera,10119008-0,95,hombre,true
296,86,nayelit brantes,57437538-k,41,hombre,false
297,9,tamara candia,80092681-5,24,hombre,false
298,44,dania carreno,40503382-8,29,mujer,false
299,35,constanza castillo,14292252-5,55,hombre,false
300,90,constanza diaz,24215497-5,72,hombre,true
301,55,jose espina,60987705-7,19,mujer,false
302,48,rodrigo figueroa,59959821-9,10,hombre,false
303,14,fernanda gonzslez,97418193-2,77,hombre,false
304,42,daniela habibe,88034198-7,36,hombre,true
305,80,gloria herrera,56725663-4,66,hombre,true
306,9,thaira hormazabal,54157127-2,74,mujer,false
307,78,kiomara huinca,48979148-k,13,mujer,true
308,101,barbara jara,30492842-5,21,mujer,true
309,31,javiera jaramillo,84671162-7,48,mujer,false
310,62,maria martinez,57342278-3,84,mujer,false
311,84,tiare miranda,73540572-1,55,hombre,true
312,68,constanza morales,48762156-0,80,hombre,false
313,26,sebastian moya,58509457-9,89,mujer,false
314,6,fabian munoz,58188294-7,12,mujer,false
315,27,valentina munoz,25844754-9,58,hombre,true
316,54,lucas nunez,29903675-8,95,hombre,false
317,18,vania pena,66844166-1,45,hombre,false
318,10,dylan perez,32273643-6,77,hombre,false
319,0,damary pichulman,80353279-6,68,hombre,true
320,53,francisca pinto,29622397-2,26,hombre,false
321,29,danae poblete,78897889-8,94,mujer,true
322,75,paula quintrel,58846331-1,60,mujer,false
323,62,camilo roblero,71652443-4,78,mujer,false
324,44,vicente saez,90243628-6,36,mujer,false
325,26,crichna salazar,84081575-7,19,mujer,false
326,31,elias sanzana,14114400-6,87,mujer,false
327,48,esteban schroder,83905334-7,30,hombre,false
328,6,nicolas soto,89146700-1,46,hombre,false
329,24,nicolas urriola,29622980-6,20,mujer,false
330,1,aylin valdes,20168747-0,69,mujer,false
331,55,damaris venegas,38725184-7,30,hombre,false
332,66,benjamin vera,28450511-5,96,mujer,true
333,40,monserrat vidal,81018273-3,72,hombre,false
334,37,anais aguirre,10742402-4,54,hombre,true
335,93,isaac andrades,85384785-2,65,hombre,true
336,45,karina araos,30001031-8,29,mujer,false
337,71,daniela beroiza,48246125-5,67,mujer,true
338,69,carolina brevis,48986292-1,41,mujer,true
339,36,camila cabrera,93892863-0,55,hombre,true
340,50,valentina campos,52179815-7,22,hombre,false
341,94,annais caro,19706256-8,55,hombre,true
342,8,abraham carreno,26196183-0,27,mujer,false
343,13,jael cornejo,11271286-0,56,mujer,false
344,25,aaron cornejo,48998776-7,78,mujer,false
345,50,matias ferreira,95521769-1,47,hombre,false
346,14,matias fuentes,55972471-8,32,hombre,false
347,81,alexandra garay,95487734-5,58,hombre,false
348,58,yahir garrido,63814706-8,43,hombre,false
349,92,justin godoy,43597800-2,79,mujer,true
350,85,camila gonzalez,95403427-5,10,mujer,false
351,38,natalia henriquez,56914123-0,76,mujer,true
352,64,jorge hidalgo,95623149-3,87,mujer,false
353,60,francisca huenufil,37126798-0,47,mujer,false
354,39,maria jilberto,92270331-0,17,mujer,true
355,70,cristhian jimenez,46288331-5,94,mujer,false
356,77,isidora jimenez,90505307-8,13,mujer,false
357,65,martin leiva,95810168-6,73,hombre,true
358,87,martina leiva,94006732-4,62,hombre,false
359,79,andres lucero,61336127-8,81,hombre,false
360,64,gamadiel marin,32142510-0,73,hombre,true
361,81,saad sierra,21188032-5,18,mujer,true
362,85,teigan phelps,64660903-8,29,mujer,false
363,76,chiara howell,17677635-8,35,mujer,true
364,58,nishat greig,21332506-k,42,mujer,true
365,2,niam snider,36615636-4,50,hombre,false
366,56,tasnim rutledge,30741496-1,57,hombre,false
367,25,henna cantu,18970874-2,24,mujer,false
368,7,amira wong,33491402-k,28,mujer,true
369,15,annaliese ford,47342099-6,37,hombre,false
370,11,marco waters,73815426-6,21,hombre,false
371,28,marian spence,19528671-k,57,hombre,false
372,100,amy sharples,51844875-7,38,hombre,true
373,74,eamonn redfern,17327495-5,48,hombre,true
374,54,katarina chang,82719046-2,54,hombre,true
375,45,annabelle poole,79873843-7,40,hombre,false
376,31,donte salgado,66227912-9,40,mujer,true
377,46,sufyan rollins,44715611-3,44,hombre,false
378,2,gracey day,71134226-5,18,mujer,false
379,82,otto lindsay,89260929-2,25,hombre,false
380,9,murphy melendez,72620651-1,26,hombre,false
381,82,marcel mccarty,33908685-0,23,hombre,false
382,22,lowri henry,94221380-8,35,mujer,false
383,19,juliet goodman,15823641-9,43,mujer,false
384,68,winnie bloom,39790970-0,38,hombre,false
385,34,baxter bateman,14736236-6,46,mujer,false
386,2,huda sullivan,17195049-k,20,mujer,true
387,8,ravi avila,67710168-7,58,hombre,false
388,89,hamza carson,21201270-k,22,hombre,true
389,87,faizaan gilmour,16833235-1,44,mujer,true
390,53,saoirse tang,32273167-1,54,hombre,false
391,10,harvey marsden,90922919-7,35,mujer,true
392,50,ehsan liu,60028335-9,19,mujer,false
393,5,orlaith collier,52968708-7,60,mujer,false
394,23,marcia berg,57689116-4,27,mujer,true
395,19,kamron moran,10094201-1,39,mujer,true
396,63,colin rosario,85779616-0,24,mujer,true
397,59,darrell barnes,15683276-6,20,hombre,false
398,25,akbar healy,14825989-5,50,hombre,false
399,40,valentino gilliam,65207641-6,26,hombre,true
400,59,damien barnard,34761062-3,40,mujer,true
401,79,jenna wyatt,93600353-2,52,hombre,false
402,41,chenai lynch,61627352-3,33,mujer,true
403,49,cleo parsons,33917878-k,23,hombre,true
404,18,meerab shields,81311438-0,40,hombre,false
405,95,asia byers,16506263-9,54,mujer,true
406,62,teejay leon,48849361-2,45,hombre,false
407,62,kelsie vickers,23684561-3,29,hombre,false
408,79,elisabeth pickett,12842111-4,36,mujer,true
409,34,tehya curry,46524982-k,48,hombre,true
410,70,nabila silva,54556015-1,40,mujer,false
411,3,kaira frey,22240154-2,52,mujer,true
412,53,lila barron,72478850-5,59,mujer,true
413,82,xander goodwin,25107105-5,22,mujer,true
414,9,lexi cairns,69768825-0,45,hombre,true
415,50,keyan rigby,42644643-k,53,hombre,true
416,30,donald gordon,54004386-8,53,mujer,false
417,72,kaylen yoder,55514185-8,34,hombre,true
418,61,rehaan acosta,34762796-8,40,hombre,false
419,18,ahsan moyer,55422937-9,35,hombre,false
420,68,simrah begum,11636170-1,18,mujer,true
421,86,rio haas,45453849-8,30,hombre,false
422,75,dannielle power,84539370-2,59,hombre,false
423,13,adam delarosa,96900689-8,26,hombre,true
424,35,yousif mccullough,44281327-2,34,hombre,true
425,46,zakary ingram,74580276-1,21,mujer,false
426,25,jordana haley,78160098-9,23,mujer,false
427,55,kavan holder,65346159-3,42,mujer,true
428,22,kieren peck,72800848-2,49,hombre,true
429,8,fiona estrada,79757833-9,41,mujer,true
430,48,esme-rose sargent,79459402-3,41,mujer,true
431,6,kathy leal,80921370-6,35,mujer,false
432,17,hassan gilmore,90172937-9,23,mujer,false
433,44,rose larsen,47942200-1,52,hombre,true
434,25,jorge tillman,42538060-5,22,hombre,false
435,56,devonte needham,70582800-8,56,mujer,true
436,86,fahad richmond,14982281-k,23,mujer,false
437,4,kynan benson,90155266-5,56,hombre,true
438,12,maison rhodes,96951878-3,23,mujer,true
439,25,cai woodward,72159761-k,32,mujer,true
440,6,dania neal,72430402-8,23,hombre,true
441,17,irene contreras,66045545-0,56,hombre,true
442,75,briony whelan,91231636-k,37,hombre,true
443,1,vishal merrill,86516801-2,49,hombre,true
444,60,brad stewart,64750606-2,42,mujer,true
445,85,mina dougherty,90966759-3,26,mujer,true
446,45,phebe braun,31111145-0,55,hombre,true
447,57,murray britton,16792411-5,56,mujer,true
448,11,jaxx blaese,58765828-3,19,hombre,false
449,30,una glenn,42216276-3,40,hombre,true
450,14,luke hills,91844038-0,48,hombre,true
451,16,yasser wilkins,43926456-k,47,hombre,true
452,70,emir bird,13965853-1,40,hombre,false
453,43,reema page,14343597-0,45,hombre,false
454,77,nigel dickens,41966463-4,36,mujer,true
455,86,priyanka navarro,21219682-7,43,hombre,true
456,11,dina clark,95541523-k,23,hombre,true
457,70,ali childs,68208732-3,56,mujer,true
458,51,ava-rose o'ryan,43831962-k,60,hombre,true
459,46,talitha mcloughlin,22234852-8,60,hombre,true
460,28,lily-anne patel,39089742-1,36,mujer,true
461,43,keane morrison,92696219-1,28,mujer,true
462,15,mayson baird,69568679-k,48,hombre,true
463,18,rhiann cote,91935122-5,45,hombre,true
464,62,lina mclaughlin,68133700-8,45,mujer,true
465,5,ayush pace,42938886-4,58,mujer,true
466,24,zeeshan johnston,11439340-1,26,hombre,true
467,73,dominykas lutz,39899583-k,55,mujer,true
468,26,rafi kaiser,39949282-3,37,hombre,true
469,88,maaria major,53644614-1,41,mujer,true
470,61,blanka alford,19552470-k,34,mujer,true
